Ventas ,,12,7,8,13,6,21,17,17,23,22,32,26,20,30,30,34,40,36,27,0,27,41,40,42,34,38,30,41,41,35,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicador,"Enero, 24","Febrero, 24","Marzo, 24","Abril, 24","Mayo, 24","Junio, 24","Julio, 24","Agosto, 24","Septiembre, 24","Octubre, 24","Noviembre, 24","Diciembre, 24","Enero, 25","Febrero, 25","Marzo, 25","Abril, 25","Mayo, 25","Junio, 25","Julio, 25","Agosto, 25","Septiembre, 25","Octubre, 25","Noviembre, 25","Diciembre, 25","Enero, 26","Febrero, 26","Marzo, 26","Abril, 26","Mayo, 26","Junio, 26","Julio, 26",Total 2024,Total 2025,Total 2026,,
Generadas,5,6,11,23,26,43,55,36,56,79,76,103,83,76,92,59,76,97,104,99,127,136,118,111,113,83,85,74,95,82,32,519,1178,450,1697.0,0.3924572775486152
Aprobadas,1,2,7,14,8,13,30,19,26,31,25,39,30,27,31,35,40,46,41,27,43,51,49,31,37,37,41,42,44,35,12,215,451,201,666.0,0.509009009009009
Condicionadas,0,0,1,0,4,0,3,0,1,32,26,33,25,18,27,6,7,25,22,22,32,22,32,49,34,21,14,16,17,10,9,100,287,102,387.0,
Rechazadas,4,4,4,9,14,22,17,13,13,12,25,26,26,21,30,16,25,22,33,44,49,62,36,28,36,25,30,16,30,33,9,163,392,137,555.0,
Formalizadas,1,1,5,11,3,6,17,9,7,14,14,17,19,12,20,17,19,25,21,13,25,25,24,14,21,17,18,16,19,13,4,105,234,91,339.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% de Aprobación,0.2,0.3333333333333333,0.6363636363636364,0.6086956521739131,0.3076923076923077,0.3023255813953488,0.5454545454545454,0.5277777777777778,0.4642857142857143,0.3924050632911392,0.32894736842105265,0.3786407766990291,0.3614457831325301,0.35526315789473684,0.33695652173913043,0.5932203389830508,0.5263157894736842,0.4742268041237113,0.3942307692307692,0.2727272727272727,0.33858267716535434,0.375,0.4152542372881356,0.27927927927927926,0.3274336283185841,0.4457831325301205,0.4823529411764706,0.5675675675675675,0.4631578947368421,0.4268292682926829,0.375,0.4142581888246628,0.3828522920203735,0.44666666666666666,,
% de Formalizacion ,1,0.5,0.7142857142857143,0.7857142857142857,0.375,0.46153846153846156,0.5666666666666667,0.47368421052631576,0.2692307692307692,0.45161290322580644,0.56,0.4358974358974359,0.6333333333333333,0.4444444444444444,0.6451612903225806,0.4857142857142857,0.475,0.5434782608695652,0.5121951219512195,0.48148148148148145,0.5813953488372093,0.49019607843137253,0.4897959183673469,0.45161290322580644,0.5675675675675675,0.4594594594594595,0.43902439024390244,0.38095238095238093,0.4318181818181818,0.37142857142857144,0.3333333333333333,0.4883720930232558,0.5188470066518847,0.4527363184079602,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.º de solicitudes ingresadas por financiera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financiera,0,0,0,0,0,0,0,0,51,81,76,103,83,76,90,59,76,97,104,99,127,136,118,111,113,83,85,74,95,82,32,TOTAL ,% PARTICIPACION,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00048756704046806434,,,
AFIRME,0,0,0,0,0,0,0,0,18,23,37,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,121,0.05899561189663579,,,
BANORTE,0,0,0,0,0,0,0,0,1,1,2,4,31,41,31,16,44,47,58,48,62,74,50,69,53,33,33,33,34,15,10,790,0.38517796196977083,,,
BBVA,0,0,0,0,0,0,0,0,12,25,10,14,4,7,3,3,9,3,6,2,6,10,16,6,7,10,12,7,11,16,3,202,0.098488542174549,,,
ENSUEÑO,0,0,0,0,0,0,0,0,0,0,0,0,13,7,7,1,4,6,3,9,11,3,18,22,9,4,3,1,8,8,7,144,0.07020965382740127,,,
FINANMADRID,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0009751340809361287,,,
INBURSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,
MSTART,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,10,8,10,10,6,14,11,15,3,12,12,9,5,11,6,1,156,0.07606045831301804,,,
NEXU,0,0,0,0,0,0,0,0,19,31,27,42,0,0,0,0,0,0,4,1,5,4,1,0,1,0,0,0,0,0,0,135,0.06582155046318869,,,
SANTANDER,0,0,0,0,0,0,0,0,1,0,0,1,35,13,40,29,9,30,22,31,27,32,16,11,26,18,25,21,18,30,7,442,0.21550463188688446,,,
SCOTIABANK,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,2,2,2,0,3,2,1,3,9,6,4,41,0.019990248659190638,,,
